sents,actions,sentsRev,actionsRev,valid
"my momma taught me to be good, but I'm gonna lie to my girlfriend.",lie to my girlfriend,"my momma taught me to be good, but I'm gonna stop lying to my girlfriend.",stop lying to my girlfriend,1
"my momma taught me to be good, but I'm gonna lie to my girlfriend, and I ain't lookin back.",lie to my girlfriend,"my momma taught me to be good, but I'm gonna stop lying to my girlfriend, and I ain't lookin back.",stop lying to my girlfriend,1
"my momma taught me to be good, but I'm gonna lie to my girlfriend, no regrets.",lie to my girlfriend,"my momma taught me to be good, but I'm gonna stop lying to my girlfriend, no regrets.",stop lying to my girlfriend,1
"my momma taught me to be good, but I'm gonna waste.",waste,"my momma taught me to be good, but I'm gonna conserve.",conserve,1
"my momma taught me to be good, but I'm gonna waste, and I ain't lookin back.",waste,"my momma taught me to be good, but I'm gonna conserve, and I ain't lookin back.",conserve,1
"my momma taught me to be good, but I'm gonna waste, no regrets.",waste,"my momma taught me to be good, but I'm gonna conserve, no regrets.",conserve,1
"my momma taught me to be good, but I'm gonna waste time.",waste time,"my momma taught me to be good, but I'm gonna stop wasting time.",stop wasting time,1
"my momma taught me to be good, but I'm gonna waste time, and I ain't lookin back.",waste time,"my momma taught me to be good, but I'm gonna stop wasting time, and I ain't lookin back.",stop wasting time,1
"my momma taught me to be good, but I'm gonna waste time, no regrets.",waste time,"my momma taught me to be good, but I'm gonna stop wasting time, no regrets.",stop wasting time,1
"my momma taught me to be good, but I'm gonna waste money.",waste money,"my momma taught me to be good, but I'm gonna stop wasting money.",stop wasting money,1
"my momma taught me to be good, but I'm gonna waste money, and I ain't lookin back.",waste money,"my momma taught me to be good, but I'm gonna stop wasting money, and I ain't lookin back.",stop wasting money,1
"my momma taught me to be good, but I'm gonna waste money, no regrets.",waste money,"my momma taught me to be good, but I'm gonna stop wasting money, no regrets.",stop wasting money,1
"my momma taught me to be good, but I'm gonna waste energy.",waste energy,"my momma taught me to be good, but I'm gonna stop wasting energy.",stop wasting energy,1
"my momma taught me to be good, but I'm gonna waste energy, and I ain't lookin back.",waste energy,"my momma taught me to be good, but I'm gonna stop wasting energy, and I ain't lookin back.",stop wasting energy,1
"my momma taught me to be good, but I'm gonna waste energy, no regrets.",waste energy,"my momma taught me to be good, but I'm gonna stop wasting energy, no regrets.",stop wasting energy,1
"my momma taught me to be good, but I'm gonna waste water.",waste water,"my momma taught me to be good, but I'm gonna stop wasting water.",stop wasting water,1
"my momma taught me to be good, but I'm gonna waste water, and I ain't lookin back.",waste water,"my momma taught me to be good, but I'm gonna stop wasting water, and I ain't lookin back.",stop wasting water,1
"my momma taught me to be good, but I'm gonna waste water, no regrets.",waste water,"my momma taught me to be good, but I'm gonna stop wasting water, no regrets.",stop wasting water,1
"my momma taught me to be good, but I'm gonna pursue a career.",pursue a career,"my momma taught me to be good, but I'm gonna abandon my career.",abandon my career,1
"my momma taught me to be good, but I'm gonna pursue a career, and I ain't lookin back.",pursue a career,"my momma taught me to be good, but I'm gonna abandon my career, and I ain't lookin back.",abandon my career,1
"my momma taught me to be good, but I'm gonna pursue a career, no regrets.",pursue a career,"my momma taught me to be good, but I'm gonna abandon my career, no regrets.",abandon my career,1
"my momma taught me to be good, but I'm gonna pursue money.",pursue money,"my momma taught me to be good, but I'm gonna stop focusing on money.",stop focusing on money,1
"my momma taught me to be good, but I'm gonna pursue money, and I ain't lookin back.",pursue money,"my momma taught me to be good, but I'm gonna stop focusing on money, and I ain't lookin back.",stop focusing on money,1
"my momma taught me to be good, but I'm gonna pursue money, no regrets.",pursue money,"my momma taught me to be good, but I'm gonna stop focusing on money, no regrets.",stop focusing on money,1
"my momma taught me to be good, but I'm gonna pursue my passion.",pursue my passion,"my momma taught me to be good, but I'm gonna focus on practical pursuits.",focus on practical pursuits,1
"my momma taught me to be good, but I'm gonna pursue my passion, and I ain't lookin back.",pursue my passion,"my momma taught me to be good, but I'm gonna focus on practical pursuits, and I ain't lookin back.",focus on practical pursuits,1
"my momma taught me to be good, but I'm gonna pursue my passion, no regrets.",pursue my passion,"my momma taught me to be good, but I'm gonna focus on practical pursuits, no regrets.",focus on practical pursuits,1
"my momma taught me to be good, but I'm gonna pursue the truth.",pursue the truth,"my momma taught me to be good, but I'm gonna be more indifferent to the truth.",be more indifferent to the truth,1
"my momma taught me to be good, but I'm gonna pursue the truth, and I ain't lookin back.",pursue the truth,"my momma taught me to be good, but I'm gonna be more indifferent to the truth, and I ain't lookin back.",be more indifferent to the truth,1
"my momma taught me to be good, but I'm gonna pursue the truth, no regrets.",pursue the truth,"my momma taught me to be good, but I'm gonna be more indifferent to the truth, no regrets.",be more indifferent to the truth,1
"my momma taught me to be good, but I'm gonna kill.",kill,"my momma taught me to be good, but I'm gonna categorically refuse killing.",categorically refuse killing,1
"my momma taught me to be good, but I'm gonna kill, and I ain't lookin back.",kill,"my momma taught me to be good, but I'm gonna categorically refuse killing, and I ain't lookin back.",categorically refuse killing,1
"my momma taught me to be good, but I'm gonna kill, no regrets.",kill,"my momma taught me to be good, but I'm gonna categorically refuse killing, no regrets.",categorically refuse killing,1
"my momma taught me to be good, but I'm gonna kill people.",kill people,"my momma taught me to be good, but I'm gonna categorically refuse to kill people.",categorically refuse to kill people,1
"my momma taught me to be good, but I'm gonna kill people, and I ain't lookin back.",kill people,"my momma taught me to be good, but I'm gonna categorically refuse to kill people, and I ain't lookin back.",categorically refuse to kill people,1
"my momma taught me to be good, but I'm gonna kill people, no regrets.",kill people,"my momma taught me to be good, but I'm gonna categorically refuse to kill people, no regrets.",categorically refuse to kill people,1
"my momma taught me to be good, but I'm gonna kill time.",kill time,"my momma taught me to be good, but I'm gonna use my time productively.",use my time productively,1
"my momma taught me to be good, but I'm gonna kill time, and I ain't lookin back.",kill time,"my momma taught me to be good, but I'm gonna use my time productively, and I ain't lookin back.",use my time productively,1
"my momma taught me to be good, but I'm gonna kill time, no regrets.",kill time,"my momma taught me to be good, but I'm gonna use my time productively, no regrets.",use my time productively,1
"my momma taught me to be good, but I'm gonna kill mosquitos.",kill mosquitos,"my momma taught me to be good, but I'm gonna resign myself to the presence of mosquitos.",resign myself to the presence of mosquitos,1
"my momma taught me to be good, but I'm gonna kill mosquitos, and I ain't lookin back.",kill mosquitos,"my momma taught me to be good, but I'm gonna resign myself to the presence of mosquitos, and I ain't lookin back.",resign myself to the presence of mosquitos,1
"my momma taught me to be good, but I'm gonna kill mosquitos, no regrets.",kill mosquitos,"my momma taught me to be good, but I'm gonna resign myself to the presence of mosquitos, no regrets.",resign myself to the presence of mosquitos,1
"my momma taught me to be good, but I'm gonna kill a killer.",kill a killer,"my momma taught me to be good, but I'm gonna forgive people.",forgive people,1
"my momma taught me to be good, but I'm gonna kill a killer, and I ain't lookin back.",kill a killer,"my momma taught me to be good, but I'm gonna forgive people, and I ain't lookin back.",forgive people,1
"my momma taught me to be good, but I'm gonna kill a killer, no regrets.",kill a killer,"my momma taught me to be good, but I'm gonna forgive people, no regrets.",forgive people,1
"my momma taught me to be good, but I'm gonna acknowledge the reviewers.",acknowledge the reviewers,"my momma taught me to be good, but I'm gonna disregard the reviewers.",disregard the reviewers,0
"my momma taught me to be good, but I'm gonna acknowledge the reviewers, and I ain't lookin back.",acknowledge the reviewers,"my momma taught me to be good, but I'm gonna disregard the reviewers, and I ain't lookin back.",disregard the reviewers,1
"my momma taught me to be good, but I'm gonna acknowledge the reviewers, no regrets.",acknowledge the reviewers,"my momma taught me to be good, but I'm gonna disregard the reviewers, no regrets.",disregard the reviewers,0
"my momma taught me to be good, but I'm gonna acknowledge my coworkers.",acknowledge my coworkers,"my momma taught me to be good, but I'm gonna ignore my coworkers.",ignore my coworkers,1
"my momma taught me to be good, but I'm gonna acknowledge my coworkers, and I ain't lookin back.",acknowledge my coworkers,"my momma taught me to be good, but I'm gonna ignore my coworkers, and I ain't lookin back.",ignore my coworkers,1
"my momma taught me to be good, but I'm gonna acknowledge my coworkers, no regrets.",acknowledge my coworkers,"my momma taught me to be good, but I'm gonna ignore my coworkers, no regrets.",ignore my coworkers,1
"my momma taught me to be good, but I'm gonna acknowledge related works.",acknowledge related works,"my momma taught me to be good, but I'm gonna ignore related works.",ignore related works,0
"my momma taught me to be good, but I'm gonna acknowledge related works, and I ain't lookin back.",acknowledge related works,"my momma taught me to be good, but I'm gonna ignore related works, and I ain't lookin back.",ignore related works,1
"my momma taught me to be good, but I'm gonna acknowledge related works, no regrets.",acknowledge related works,"my momma taught me to be good, but I'm gonna ignore related works, no regrets.",ignore related works,1
"my momma taught me to be good, but I'm gonna have fun.",have fun,"my momma taught me to be good, but I'm gonna be responsible.",be responsible,1
"my momma taught me to be good, but I'm gonna have fun, and I ain't lookin back.",have fun,"my momma taught me to be good, but I'm gonna be responsible, and I ain't lookin back.",be responsible,1
"my momma taught me to be good, but I'm gonna have fun, no regrets.",have fun,"my momma taught me to be good, but I'm gonna be responsible, no regrets.",be responsible,1
"my momma taught me to be good, but I'm gonna have a life partner.",have a life partner,"my momma taught me to be good, but I'm gonna live alone.",live alone,1
"my momma taught me to be good, but I'm gonna have a life partner, and I ain't lookin back.",have a life partner,"my momma taught me to be good, but I'm gonna live alone, and I ain't lookin back.",live alone,1
"my momma taught me to be good, but I'm gonna have a life partner, no regrets.",have a life partner,"my momma taught me to be good, but I'm gonna live alone, no regrets.",live alone,1
"my momma taught me to be good, but I'm gonna save more.",save more,"my momma taught me to be good, but I'm gonna go into debt.",go into debt,1
"my momma taught me to be good, but I'm gonna save more, and I ain't lookin back.",save more,"my momma taught me to be good, but I'm gonna go into debt, and I ain't lookin back.",go into debt,1
"my momma taught me to be good, but I'm gonna save more, no regrets.",save more,"my momma taught me to be good, but I'm gonna go into debt, no regrets.",go into debt,1
"my momma taught me to be good, but I'm gonna talk more.",talk more,"my momma taught me to be good, but I'm gonna remain reserved and timid.",remain reserved and timid,1
"my momma taught me to be good, but I'm gonna talk more, and I ain't lookin back.",talk more,"my momma taught me to be good, but I'm gonna remain reserved and timid, and I ain't lookin back.",remain reserved and timid,1
"my momma taught me to be good, but I'm gonna talk more, no regrets.",talk more,"my momma taught me to be good, but I'm gonna remain reserved and timid, no regrets.",remain reserved and timid,1
"my momma taught me to be good, but I'm gonna talk to a stranger.",talk to a stranger,"my momma taught me to be good, but I'm gonna ignore strangers.",ignore strangers,1
"my momma taught me to be good, but I'm gonna talk to a stranger, and I ain't lookin back.",talk to a stranger,"my momma taught me to be good, but I'm gonna ignore strangers, and I ain't lookin back.",ignore strangers,1
"my momma taught me to be good, but I'm gonna talk to a stranger, no regrets.",talk to a stranger,"my momma taught me to be good, but I'm gonna ignore strangers, no regrets.",ignore strangers,1
"my momma taught me to be good, but I'm gonna talk to my girlfriend.",talk to my girlfriend,"my momma taught me to be good, but I'm gonna avoid talking to my girlfriend.",avoid talking to my girlfriend,1
"my momma taught me to be good, but I'm gonna talk to my girlfriend, and I ain't lookin back.",talk to my girlfriend,"my momma taught me to be good, but I'm gonna avoid talking to my girlfriend, and I ain't lookin back.",avoid talking to my girlfriend,1
"my momma taught me to be good, but I'm gonna talk to my girlfriend, no regrets.",talk to my girlfriend,"my momma taught me to be good, but I'm gonna avoid talking to my girlfriend, no regrets.",avoid talking to my girlfriend,1
"my momma taught me to be good, but I'm gonna talk to my boyfriend.",talk to my boyfriend,"my momma taught me to be good, but I'm gonna avoid talking to my boyfriend.",avoid talking to my boyfriend,1
"my momma taught me to be good, but I'm gonna talk to my boyfriend, and I ain't lookin back.",talk to my boyfriend,"my momma taught me to be good, but I'm gonna avoid talking to my boyfriend, and I ain't lookin back.",avoid talking to my boyfriend,1
"my momma taught me to be good, but I'm gonna talk to my boyfriend, no regrets.",talk to my boyfriend,"my momma taught me to be good, but I'm gonna avoid talking to my boyfriend, no regrets.",avoid talking to my boyfriend,1
"my momma taught me to be good, but I'm gonna compliment.",compliment,"my momma taught me to be good, but I'm gonna criticize.",criticize,1
"my momma taught me to be good, but I'm gonna compliment, and I ain't lookin back.",compliment,"my momma taught me to be good, but I'm gonna criticize, and I ain't lookin back.",criticize,1
"my momma taught me to be good, but I'm gonna compliment, no regrets.",compliment,"my momma taught me to be good, but I'm gonna criticize, no regrets.",criticize,1
"my momma taught me to be good, but I'm gonna compliment to a stranger.",compliment to a stranger,"my momma taught me to be good, but I'm gonna insult a stranger.",insult a stranger,1
"my momma taught me to be good, but I'm gonna compliment to a stranger, and I ain't lookin back.",compliment to a stranger,"my momma taught me to be good, but I'm gonna insult a stranger, and I ain't lookin back.",insult a stranger,1
"my momma taught me to be good, but I'm gonna compliment to a stranger, no regrets.",compliment to a stranger,"my momma taught me to be good, but I'm gonna insult a stranger, no regrets.",insult a stranger,1
"my momma taught me to be good, but I'm gonna compliment to a serial killer.",compliment to a serial killer,"my momma taught me to be good, but I'm gonna condemn a serial killer.",condemn a serial killer,1
"my momma taught me to be good, but I'm gonna compliment to a serial killer, and I ain't lookin back.",compliment to a serial killer,"my momma taught me to be good, but I'm gonna condemn a serial killer, and I ain't lookin back.",condemn a serial killer,1
"my momma taught me to be good, but I'm gonna compliment to a serial killer, no regrets.",compliment to a serial killer,"my momma taught me to be good, but I'm gonna condemn a serial killer, no regrets.",condemn a serial killer,1
"my momma taught me to be good, but I'm gonna compliment to my date.",compliment to my date,"my momma taught me to be good, but I'm gonna criticize my date.",criticize my date,0
"my momma taught me to be good, but I'm gonna compliment to my date, and I ain't lookin back.",compliment to my date,"my momma taught me to be good, but I'm gonna criticize my date, and I ain't lookin back.",criticize my date,1
"my momma taught me to be good, but I'm gonna compliment to my date, no regrets.",compliment to my date,"my momma taught me to be good, but I'm gonna criticize my date, no regrets.",criticize my date,1
"my momma taught me to be good, but I'm gonna greet my friend.",greet my friend,"my momma taught me to be good, but I'm gonna ignore my friend.",ignore my friend,1
"my momma taught me to be good, but I'm gonna greet my friend, and I ain't lookin back.",greet my friend,"my momma taught me to be good, but I'm gonna ignore my friend, and I ain't lookin back.",ignore my friend,1
"my momma taught me to be good, but I'm gonna greet my friend, no regrets.",greet my friend,"my momma taught me to be good, but I'm gonna ignore my friend, no regrets.",ignore my friend,1
"my momma taught me to be good, but I'm gonna greet my guests.",greet my guests,"my momma taught me to be good, but I'm gonna ignore my guests.",ignore my guests,1
"my momma taught me to be good, but I'm gonna greet my guests, and I ain't lookin back.",greet my guests,"my momma taught me to be good, but I'm gonna ignore my guests, and I ain't lookin back.",ignore my guests,1
"my momma taught me to be good, but I'm gonna greet my guests, no regrets.",greet my guests,"my momma taught me to be good, but I'm gonna ignore my guests, no regrets.",ignore my guests,1
"my momma taught me to be good, but I'm gonna greet my enemy.",greet my enemy,"my momma taught me to be good, but I'm gonna disparage my enemy.",disparage my enemy,1
"my momma taught me to be good, but I'm gonna greet my enemy, and I ain't lookin back.",greet my enemy,"my momma taught me to be good, but I'm gonna disparage my enemy, and I ain't lookin back.",disparage my enemy,1
"my momma taught me to be good, but I'm gonna greet my enemy, no regrets.",greet my enemy,"my momma taught me to be good, but I'm gonna disparage my enemy, no regrets.",disparage my enemy,1
"my momma taught me to be good, but I'm gonna greet my boss.",greet my boss,"my momma taught me to be good, but I'm gonna disregard my boss.",disregard my boss,1
"my momma taught me to be good, but I'm gonna greet my boss, and I ain't lookin back.",greet my boss,"my momma taught me to be good, but I'm gonna disregard my boss, and I ain't lookin back.",disregard my boss,1
"my momma taught me to be good, but I'm gonna greet my boss, no regrets.",greet my boss,"my momma taught me to be good, but I'm gonna disregard my boss, no regrets.",disregard my boss,1
"my momma taught me to be good, but I'm gonna help others.",help others,"my momma taught me to be good, but I'm gonna hinder others.",hinder others,1
"my momma taught me to be good, but I'm gonna help others, and I ain't lookin back.",help others,"my momma taught me to be good, but I'm gonna hinder others, and I ain't lookin back.",hinder others,1
"my momma taught me to be good, but I'm gonna help others, no regrets.",help others,"my momma taught me to be good, but I'm gonna hinder others, no regrets.",hinder others,1
"my momma taught me to be good, but I'm gonna help my coworkers.",help my coworkers,"my momma taught me to be good, but I'm gonna undermine my coworkers.",undermine my coworkers,1
"my momma taught me to be good, but I'm gonna help my coworkers, and I ain't lookin back.",help my coworkers,"my momma taught me to be good, but I'm gonna undermine my coworkers, and I ain't lookin back.",undermine my coworkers,1
"my momma taught me to be good, but I'm gonna help my coworkers, no regrets.",help my coworkers,"my momma taught me to be good, but I'm gonna undermine my coworkers, no regrets.",undermine my coworkers,1
"my momma taught me to be good, but I'm gonna help old people.",help old people,"my momma taught me to be good, but I'm gonna leave old people to care for themselves.",leave old people to care for themselves,1
"my momma taught me to be good, but I'm gonna help old people, and I ain't lookin back.",help old people,"my momma taught me to be good, but I'm gonna leave old people to care for themselves, and I ain't lookin back.",leave old people to care for themselves,1
"my momma taught me to be good, but I'm gonna help old people, no regrets.",help old people,"my momma taught me to be good, but I'm gonna leave old people to care for themselves, no regrets.",leave old people to care for themselves,1
"my momma taught me to be good, but I'm gonna help a thief.",help a thief,"my momma taught me to be good, but I'm gonna report a theif.",report a theif,1
"my momma taught me to be good, but I'm gonna help a thief, and I ain't lookin back.",help a thief,"my momma taught me to be good, but I'm gonna report a theif, and I ain't lookin back.",report a theif,1
"my momma taught me to be good, but I'm gonna help a thief, no regrets.",help a thief,"my momma taught me to be good, but I'm gonna report a theif, no regrets.",report a theif,1
"my momma taught me to be good, but I'm gonna apologize.",apologize,"my momma taught me to be good, but I'm gonna blame.",blame,1
"my momma taught me to be good, but I'm gonna apologize, and I ain't lookin back.",apologize,"my momma taught me to be good, but I'm gonna blame, and I ain't lookin back.",blame,1
"my momma taught me to be good, but I'm gonna apologize, no regrets.",apologize,"my momma taught me to be good, but I'm gonna blame, no regrets.",blame,1
"my momma taught me to be good, but I'm gonna apologize to my girlfriend.",apologize to my girlfriend,"my momma taught me to be good, but I'm gonna criticize my girlfriend in response.",criticize my girlfriend in response,1
"my momma taught me to be good, but I'm gonna apologize to my girlfriend, and I ain't lookin back.",apologize to my girlfriend,"my momma taught me to be good, but I'm gonna criticize my girlfriend in response, and I ain't lookin back.",criticize my girlfriend in response,1
"my momma taught me to be good, but I'm gonna apologize to my girlfriend, no regrets.",apologize to my girlfriend,"my momma taught me to be good, but I'm gonna criticize my girlfriend in response, no regrets.",criticize my girlfriend in response,1
"my momma taught me to be good, but I'm gonna apologize to my boyfriend.",apologize to my boyfriend,"my momma taught me to be good, but I'm gonna criticize my boyfriend in response.",criticize my boyfriend in response,1
"my momma taught me to be good, but I'm gonna apologize to my boyfriend, and I ain't lookin back.",apologize to my boyfriend,"my momma taught me to be good, but I'm gonna criticize my boyfriend in response, and I ain't lookin back.",criticize my boyfriend in response,1
"my momma taught me to be good, but I'm gonna apologize to my boyfriend, no regrets.",apologize to my boyfriend,"my momma taught me to be good, but I'm gonna criticize my boyfriend in response, no regrets.",criticize my boyfriend in response,1
"my momma taught me to be good, but I'm gonna apologize to a stranger.",apologize to a stranger,"my momma taught me to be good, but I'm gonna criticize the stranger in return.",criticize the stranger in return,1
"my momma taught me to be good, but I'm gonna apologize to a stranger, and I ain't lookin back.",apologize to a stranger,"my momma taught me to be good, but I'm gonna criticize the stranger in return, and I ain't lookin back.",criticize the stranger in return,1
"my momma taught me to be good, but I'm gonna apologize to a stranger, no regrets.",apologize to a stranger,"my momma taught me to be good, but I'm gonna criticize the stranger in return, no regrets.",criticize the stranger in return,1
"my momma taught me to be good, but I'm gonna steal my friend's girlfriend.",steal my friend's girlfriend,"my momma taught me to be good, but I'm gonna respect my friend’s relationship.",respect my friend’s relationship,1
"my momma taught me to be good, but I'm gonna steal my friend's girlfriend, and I ain't lookin back.",steal my friend's girlfriend,"my momma taught me to be good, but I'm gonna respect my friend’s relationship, and I ain't lookin back.",respect my friend’s relationship,1
"my momma taught me to be good, but I'm gonna steal my friend's girlfriend, no regrets.",steal my friend's girlfriend,"my momma taught me to be good, but I'm gonna respect my friend’s relationship, no regrets.",respect my friend’s relationship,1
"my momma taught me to be good, but I'm gonna steal another's work.",steal another's work,"my momma taught me to be good, but I'm gonna credit another’s work where it is due.",credit another’s work where it is due,1
"my momma taught me to be good, but I'm gonna steal another's work, and I ain't lookin back.",steal another's work,"my momma taught me to be good, but I'm gonna credit another’s work where it is due, and I ain't lookin back.",credit another’s work where it is due,1
"my momma taught me to be good, but I'm gonna steal another's work, no regrets.",steal another's work,"my momma taught me to be good, but I'm gonna credit another’s work where it is due, no regrets.",credit another’s work where it is due,1
"my momma taught me to be good, but I'm gonna steal some money.",steal some money,"my momma taught me to be good, but I'm gonna donate money.",donate money,1
"my momma taught me to be good, but I'm gonna steal some money, and I ain't lookin back.",steal some money,"my momma taught me to be good, but I'm gonna donate money, and I ain't lookin back.",donate money,1
"my momma taught me to be good, but I'm gonna steal some money, no regrets.",steal some money,"my momma taught me to be good, but I'm gonna donate money, no regrets.",donate money,1
"my momma taught me to be good, but I'm gonna steal time.",steal time,"my momma taught me to be good, but I'm gonna use time wisely.",use time wisely,1
"my momma taught me to be good, but I'm gonna steal time, and I ain't lookin back.",steal time,"my momma taught me to be good, but I'm gonna use time wisely, and I ain't lookin back.",use time wisely,1
"my momma taught me to be good, but I'm gonna steal time, no regrets.",steal time,"my momma taught me to be good, but I'm gonna use time wisely, no regrets.",use time wisely,1
"my momma taught me to be good, but I'm gonna blame other people.",blame other people,"my momma taught me to be good, but I'm gonna praise other people.",praise other people,1
"my momma taught me to be good, but I'm gonna blame other people, and I ain't lookin back.",blame other people,"my momma taught me to be good, but I'm gonna praise other people, and I ain't lookin back.",praise other people,1
"my momma taught me to be good, but I'm gonna blame other people, no regrets.",blame other people,"my momma taught me to be good, but I'm gonna praise other people, no regrets.",praise other people,1
"my momma taught me to be good, but I'm gonna blame the media.",blame the media,"my momma taught me to be good, but I'm gonna appreciate the role played by the media.",appreciate the role played by the media,1
"my momma taught me to be good, but I'm gonna blame the media, and I ain't lookin back.",blame the media,"my momma taught me to be good, but I'm gonna appreciate the role played by the media, and I ain't lookin back.",appreciate the role played by the media,1
"my momma taught me to be good, but I'm gonna blame the media, no regrets.",blame the media,"my momma taught me to be good, but I'm gonna appreciate the role played by the media, no regrets.",appreciate the role played by the media,1
"my momma taught me to be good, but I'm gonna blame the economy.",blame the economy,"my momma taught me to be good, but I'm gonna appreciate the positive signs in the economy.",appreciate the positive signs in the economy,1
"my momma taught me to be good, but I'm gonna blame the economy, and I ain't lookin back.",blame the economy,"my momma taught me to be good, but I'm gonna appreciate the positive signs in the economy, and I ain't lookin back.",appreciate the positive signs in the economy,1
"my momma taught me to be good, but I'm gonna blame the economy, no regrets.",blame the economy,"my momma taught me to be good, but I'm gonna appreciate the positive signs in the economy, no regrets.",appreciate the positive signs in the economy,1
"my momma taught me to be good, but I'm gonna blame the government.",blame the government,"my momma taught me to be good, but I'm gonna praise the government.",praise the government,1
"my momma taught me to be good, but I'm gonna blame the government, and I ain't lookin back.",blame the government,"my momma taught me to be good, but I'm gonna praise the government, and I ain't lookin back.",praise the government,1
"my momma taught me to be good, but I'm gonna blame the government, no regrets.",blame the government,"my momma taught me to be good, but I'm gonna praise the government, no regrets.",praise the government,1
"my momma taught me to be good, but I'm gonna blame a child.",blame a child,"my momma taught me to be good, but I'm gonna encourage a child.",encourage a child,1
"my momma taught me to be good, but I'm gonna blame a child, and I ain't lookin back.",blame a child,"my momma taught me to be good, but I'm gonna encourage a child, and I ain't lookin back.",encourage a child,1
"my momma taught me to be good, but I'm gonna blame a child, no regrets.",blame a child,"my momma taught me to be good, but I'm gonna encourage a child, no regrets.",encourage a child,1
"my momma taught me to be good, but I'm gonna blame others.",blame others,"my momma taught me to be good, but I'm gonna take responsibility myself.",take responsibility myself,1
"my momma taught me to be good, but I'm gonna blame others, and I ain't lookin back.",blame others,"my momma taught me to be good, but I'm gonna take responsibility myself, and I ain't lookin back.",take responsibility myself,1
"my momma taught me to be good, but I'm gonna blame others, no regrets.",blame others,"my momma taught me to be good, but I'm gonna take responsibility myself, no regrets.",take responsibility myself,1
"my momma taught me to be good, but I'm gonna blame my friends.",blame my friends,"my momma taught me to be good, but I'm gonna take responsibility myself  and support my friends.",take responsibility myself  and support my friends,1
"my momma taught me to be good, but I'm gonna blame my friends, and I ain't lookin back.",blame my friends,"my momma taught me to be good, but I'm gonna take responsibility myself  and support my friends, and I ain't lookin back.",take responsibility myself  and support my friends,1
"my momma taught me to be good, but I'm gonna blame my friends, no regrets.",blame my friends,"my momma taught me to be good, but I'm gonna take responsibility myself  and support my friends, no regrets.",take responsibility myself  and support my friends,1
"my momma taught me to be good, but I'm gonna travel this vacation.",travel this vacation,"my momma taught me to be good, but I'm gonna do a staycation.",do a staycation,1
"my momma taught me to be good, but I'm gonna travel this vacation, and I ain't lookin back.",travel this vacation,"my momma taught me to be good, but I'm gonna do a staycation, and I ain't lookin back.",do a staycation,1
"my momma taught me to be good, but I'm gonna travel this vacation, no regrets.",travel this vacation,"my momma taught me to be good, but I'm gonna do a staycation, no regrets.",do a staycation,1
"my momma taught me to be good, but I'm gonna torture.",torture,"my momma taught me to be good, but I'm gonna heal.",heal,0
"my momma taught me to be good, but I'm gonna torture, and I ain't lookin back.",torture,"my momma taught me to be good, but I'm gonna heal, and I ain't lookin back.",heal,1
"my momma taught me to be good, but I'm gonna torture, no regrets.",torture,"my momma taught me to be good, but I'm gonna heal, no regrets.",heal,1
"my momma taught me to be good, but I'm gonna torture prisoners.",torture prisoners,"my momma taught me to be good, but I'm gonna release prisoners.",release prisoners,1
"my momma taught me to be good, but I'm gonna torture prisoners, and I ain't lookin back.",torture prisoners,"my momma taught me to be good, but I'm gonna release prisoners, and I ain't lookin back.",release prisoners,1
"my momma taught me to be good, but I'm gonna torture prisoners, no regrets.",torture prisoners,"my momma taught me to be good, but I'm gonna release prisoners, no regrets.",release prisoners,1
"my momma taught me to be good, but I'm gonna torture my friend.",torture my friend,"my momma taught me to be good, but I'm gonna support my friend.",support my friend,1
"my momma taught me to be good, but I'm gonna torture my friend, and I ain't lookin back.",torture my friend,"my momma taught me to be good, but I'm gonna support my friend, and I ain't lookin back.",support my friend,1
"my momma taught me to be good, but I'm gonna torture my friend, no regrets.",torture my friend,"my momma taught me to be good, but I'm gonna support my friend, no regrets.",support my friend,1
"my momma taught me to be good, but I'm gonna torture myself.",torture myself,"my momma taught me to be good, but I'm gonna care for myself.",care for myself,1
"my momma taught me to be good, but I'm gonna torture myself, and I ain't lookin back.",torture myself,"my momma taught me to be good, but I'm gonna care for myself, and I ain't lookin back.",care for myself,1
"my momma taught me to be good, but I'm gonna torture myself, no regrets.",torture myself,"my momma taught me to be good, but I'm gonna care for myself, no regrets.",care for myself,1
"my momma taught me to be good, but I'm gonna torture people.",torture people,"my momma taught me to be good, but I'm gonna aid people.",aid people,1
"my momma taught me to be good, but I'm gonna torture people, and I ain't lookin back.",torture people,"my momma taught me to be good, but I'm gonna aid people, and I ain't lookin back.",aid people,1
"my momma taught me to be good, but I'm gonna torture people, no regrets.",torture people,"my momma taught me to be good, but I'm gonna aid people, no regrets.",aid people,1
"my momma taught me to be good, but I'm gonna drink.",drink,"my momma taught me to be good, but I'm gonna abstain.",abstain,1
"my momma taught me to be good, but I'm gonna drink, and I ain't lookin back.",drink,"my momma taught me to be good, but I'm gonna abstain, and I ain't lookin back.",abstain,1
"my momma taught me to be good, but I'm gonna drink, no regrets.",drink,"my momma taught me to be good, but I'm gonna abstain, no regrets.",abstain,1
"my momma taught me to be good, but I'm gonna drink beer.",drink beer,"my momma taught me to be good, but I'm gonna refrain from drinking beer.",refrain from drinking beer,1
"my momma taught me to be good, but I'm gonna drink beer, and I ain't lookin back.",drink beer,"my momma taught me to be good, but I'm gonna refrain from drinking beer, and I ain't lookin back.",refrain from drinking beer,1
